"burnout","MAS_b","MAS_c","MAS_abc","work_hours","age","job_satisfaction","resilience_simple","permanent","stressful_workplace","support_satisfaction","qual","gender"
5.428571429,5.5,2,4.576190476,30,39,3.35,"resilience","short-term contract","stressful","satisfied","0","0"
1.714285714,2.166666667,1.25,1.876984127,40,55,2.15,"no resilience","short-term contract","stressful","not satisfied","0","1"
3.142857143,1.833333333,2,2.592063492,24,NA,2.4,"resilience","short-term contract","stressful","satisfied","0","1"
3.571428571,2.5,NA,NA,29,39,NA,"resilience","short-term contract","stressful","satisfied","0","1"
1.428571429,1.333333333,1,1.387301587,30,50,4.25,"resilience","short-term contract","stressful","satisfied","0","1"
1.142857143,1,1,1.180952381,35,62,3.9,"resilience","permanent","not stressful","satisfied","0","0"
4.142857143,3.5,1.5,3.247619048,50,40,2.75,"resilience","permanent","stressful","not satisfied","1","0"
1.285714286,1.166666667,1.25,1.400793651,40,60,4.05,"resilience","permanent","not stressful","satisfied","1","0"
1.714285714,1.5,1,1.538095238,28,43,3.65,"resilience","permanent",NA,NA,"0","1"
5.857142857,4.333333333,3.375,4.971825397,50,44,NA,"no resilience","permanent","stressful","not satisfied","0","1"
6.571428571,5.833333333,2.75,5.418253968,45,50,2.9,"no resilience","permanent","stressful","not satisfied","0","1"
2,1.666666667,1.5,1.922222222,45,46,4,"resilience","permanent","stressful","not satisfied","0","1"
4.142857143,2.5,2.125,3.205952381,60,39,3.1,"resilience","permanent","stressful","not satisfied","0","1"
1.428571429,1.5,1,1.442857143,40,35,3.8,"resilience","short-term contract","not stressful","not satisfied","0","1"
3,2.333333333,1.5,2.477777778,40,58,3.9,"resilience","short-term contract","not stressful","not satisfied","0","1"
2.857142857,1.5,1.5,2.152380952,70,41,4.1,"resilience","short-term contract","stressful","not satisfied","0","1"
4.714285714,3.5,1.375,3.379761905,72,55,2.8,"resilience","short-term contract","stressful","not satisfied","0","1"
1.571428571,1.333333333,1.625,1.726587302,60,62,NA,"resilience","permanent","not stressful","satisfied","0","1"
5.857142857,6.5,1.75,4.935714286,50,NA,3.15,"no resilience","permanent","stressful","satisfied","0","1"
1.857142857,2.166666667,1.75,2.157936508,45,30,3.55,"resilience","permanent","stressful","satisfied","0","1"
3,2,1.875,2.541666667,22,34,4.15,"resilience","permanent","stressful","satisfied","0","1"
4,3.166666667,1.375,3.030555556,19,34,NA,"resilience","permanent","stressful","satisfied","0","1"
1.857142857,2.833333333,1.75,2.38015873,40,39,3.05,"resilience","permanent","stressful","satisfied","0","1"
1.285714286,1.166666667,1.375,1.459126984,35,59,3.9,"resilience","permanent","stressful","satisfied","0","1"
3,2.5,1.5,2.533333333,35,38,3.8,"resilience","permanent","stressful","satisfied","0","1"
2.857142857,2.333333333,1.25,2.313492063,50,38,3.85,"resilience","short-term contract","not stressful","satisfied","0","1"
1.428571429,1.666666667,2,1.965079365,21,NA,3.9,"no resilience","short-term contract","stressful","satisfied","0","1"
2.142857143,2.333333333,NA,NA,45,48,4.45,"resilience","short-term contract","stressful","satisfied","0","1"
6,3.333333333,NA,NA,40,45,1.9,"resilience","permanent","stressful","not satisfied","1","1"
NA,NA,NA,NA,21,47,NA,"resilience","permanent","stressful","satisfied","1","1"
1.714285714,1.166666667,1.25,1.543650794,50,31,3.6,"resilience","permanent","not stressful","not satisfied","1","0"
4,2.5,3.375,3.741666667,38,42,3.05,"no resilience","short-term contract","stressful","not satisfied","1","0"
3.285714286,2.166666667,2.5,2.984126984,40,46,3.55,"resilience","short-term contract","stressful","not satisfied","1","1"
1.285714286,1.333333333,1.125,1.398015873,60,69,4.45,NA,"permanent","not stressful","satisfied","1","1"
1.285714286,1.166666667,1.875,1.692460317,16,56,4.6,"resilience","short-term contract","not stressful","satisfied","1","1"
1.428571429,1.5,2.375,2.08452381,50,32,4.25,"resilience","short-term contract","not stressful","satisfied","1","1"
2.571428571,1,NA,NA,60,32,4.65,"resilience","short-term contract","stressful","satisfied","1","1"
4.857142857,5,3.375,4.860714286,38,42,2,"no resilience","short-term contract","stressful","not satisfied","0","0"
1.428571429,1,1,1.276190476,40,43,4.45,"resilience","permanent","not stressful","satisfied","0","0"
5.142857143,4.5,2.625,4.439285714,60,58,NA,"no resilience",NA,"stressful","not satisfied","1","0"
3.142857143,2.166666667,3.875,3.578174603,37,46,2.75,"no resilience","permanent","not stressful","not satisfied","1","0"
4.142857143,5.666666667,2.125,4.261507937,60,50,2.4,"resilience","permanent","stressful","not satisfied","1","0"
4.571428571,5,2.75,4.473809524,48,51,2.55,"resilience","permanent","stressful","not satisfied","1","0"
1.428571429,2.166666667,2,2.131746032,60,47,4,"resilience","permanent","stressful","satisfied","1","0"
3.428571429,2.666666667,1.125,2.556746032,37,59,4.05,"resilience","permanent","stressful","satisfied","1","0"
5.142857143,2.166666667,1.125,2.961507937,37,53,3.55,"resilience","permanent","stressful","not satisfied","0","1"
1.571428571,1.833333333,1,1.601587302,50,55,4.2,"resilience","short-term contract","not stressful","not satisfied","0","1"
5.428571429,4.166666667,1,3.665079365,60,62,3.3,"no resilience","permanent","not stressful","satisfied","0","1"
3.285714286,1.5,1.25,2.178571429,47,54,4.1,"resilience","permanent","not stressful","satisfied","0","1"
1.857142857,2.5,2.625,2.677380952,50,35,3.2,"resilience","permanent","stressful","satisfied","0","1"
3.428571429,1.666666667,2.125,2.690079365,40,47,4.55,"resilience","short-term contract","stressful","satisfied","0","1"
1.285714286,1.333333333,1,1.33968254,7,52,4.1,"resilience","short-term contract","stressful","satisfied","0","1"
3.428571429,1.5,1.625,2.401190476,55,43,3.2,"resilience","short-term contract","stressful","satisfied","0","1"
4.285714286,4.333333333,3,4.273015873,60,59,2.75,"resilience","permanent","not stressful","not satisfied","1","1"
5.571428571,3.333333333,2.875,4.309920635,45,47,NA,"no resilience","permanent","stressful","not satisfied","1","1"
5.285714286,3,2.5,3.928571429,45,48,1.75,"no resilience","permanent","stressful","not satisfied","1","1"
5.857142857,3.5,2.875,4.460714286,45,56,2.65,"no resilience","permanent","stressful","not satisfied","1","1"
