Pearson Correlations
"","burnout","MAS_b","MAS_c","MAS_abc","work_hours","age","job_satisfaction","resilience_simple","permanent","stressful_workplace","support_satisfaction","qual","gender"
"burnout",1,0.75691363722029,0.429770526075207,0.906656848431385,0.208985331503858,-0.0541584279259786,-0.560562795471633,-0.294541709488001,-0.230444060469913,0.437136510358826,-0.385841798163779,0.0654605780059893,0.0298556154317428
"MAS_b",0.75691363722029,1,0.477510122162973,0.908801643828311,0.13557803194262,-0.0725694308204538,-0.562730271663203,-0.378681530567087,-0.173503445636084,0.29832298043102,-0.347649811897201,0.0542543035054081,-0.0643076027943234
"MAS_c",0.429770526075207,0.477510122162973,1,0.690295189098981,0.0158290763863176,-0.14989295199783,-0.486176310727039,-0.382296670879115,-0.0102788434215964,0.186800685610905,-0.192470349109399,0.0794899691894488,-0.10147452196619
"MAS_abc",0.906656848431385,0.908801643828311,0.690295189098981,1,0.161432725914095,-0.101901589449465,-0.637655587735658,-0.405821463062966,-0.17359064378354,0.388086897820561,-0.385175413011122,0.0712758713482489,-0.0377172505284883
"work_hours",0.208985331503858,0.13557803194262,0.0158290763863176,0.161432725914095,1,0.174308926407207,-0.0881211109919328,-0.0271670968389064,-0.104854485887832,0.0298972584912535,-0.200541511955625,0.123577613114473,-0.0412901912945312
"age",-0.0541584279259786,-0.0725694308204538,-0.14989295199783,-0.101901589449465,0.174308926407207,1,0.00611696501903186,0.091897659645735,-0.10913212026658,-0.196794566777441,0.0171713221322547,0.224753051491924,0.00430820607004296
"job_satisfaction",-0.560562795471633,-0.562730271663203,-0.486176310727039,-0.637655587735658,-0.0881211109919328,0.00611696501903186,1,0.274273996527199,0.170459326892369,-0.260726813521351,0.535654304113419,0.0703928111728377,-0.00481757456091053
"resilience_simple",-0.294541709488001,-0.378681530567087,-0.382296670879115,-0.405821463062966,-0.0271670968389064,0.091897659645735,0.274273996527199,1,-0.0342754423033216,-0.123476654197031,0.171156423229404,-0.0310241996270808,0.0514443402768482
"permanent",-0.230444060469913,-0.173503445636084,-0.0102788434215964,-0.17359064378354,-0.104854485887832,-0.10913212026658,0.170459326892369,-0.0342754423033216,1,-0.046192127684579,0.108583424966507,-0.11509454047327,-0.112324865487392
"stressful_workplace",0.437136510358826,0.29832298043102,0.186800685610905,0.388086897820561,0.0298972584912535,-0.196794566777441,-0.260726813521351,-0.123476654197031,-0.046192127684579,1,-0.205621611826797,-0.0470518747074614,0.0412370445449489
